HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_18:1_16:3)-H,923.6382,673.445,385.1791,281.2486,249.186,199.1704
HBMP(12:0_18:1_16:4)-H,921.6226,673.445,383.1635,281.2486,247.1704,199.1704
HBMP(12:0_18:1_18:0)-H,957.7166,673.445,419.2574,281.2486,283.2643,199.1704
HBMP(12:0_18:1_18:1)-H,955.7009,673.445,417.2417,281.2486,281.2486,199.1704
HBMP(12:0_18:1_18:2)-H,953.6852,673.445,415.2261,281.2486,279.233,199.1704
HBMP(12:0_18:1_18:3)-H,951.6696,673.445,413.2104,281.2486,277.2173,199.1704
HBMP(12:0_18:1_18:4)-H,949.6539,673.445,411.1948,281.2486,275.2017,199.1704
HBMP(12:0_18:1_18:5)-H,947.6382,673.445,409.1791,281.2486,273.186,199.1704
HBMP(12:0_18:1_20:0)-H,985.7478,673.445,447.2887,281.2486,311.2956,199.1704
HBMP(12:0_18:1_20:1)-H,983.7322,673.445,445.273,281.2486,309.2799,199.1704
HBMP(12:0_18:1_20:2)-H,981.7166,673.445,443.2574,281.2486,307.2643,199.1704
HBMP(12:0_18:1_20:3)-H,979.7009,673.445,441.2417,281.2486,305.2486,199.1704
HBMP(12:0_18:1_20:4)-H,977.6852,673.445,439.2261,281.2486,303.233,199.1704
HBMP(12:0_18:1_20:5)-H,975.6696,673.445,437.2104,281.2486,301.2173,199.1704
HBMP(12:0_18:1_22:0)-H,1013.779,673.445,475.3199,281.2486,339.3269,199.1704
HBMP(12:0_18:1_22:1)-H,1011.763,673.445,473.3043,281.2486,337.3112,199.1704
HBMP(12:0_18:1_22:2)-H,1009.748,673.445,471.2887,281.2486,335.2956,199.1704
HBMP(12:0_18:1_22:3)-H,1007.732,673.445,469.273,281.2486,333.2799,199.1704
HBMP(12:0_18:1_22:4)-H,1005.717,673.445,467.2574,281.2486,331.2643,199.1704
HBMP(12:0_18:1_22:5)-H,1003.701,673.445,465.2417,281.2486,329.2486,199.1704
HBMP(12:0_18:1_22:6)-H,1001.685,673.445,463.2261,281.2486,327.233,199.1704
HBMP(12:0_18:2_12:0)-H,871.607,671.4293,335.1635,279.233,199.1704,199.1704
HBMP(12:0_18:2_14:0)-H,899.6382,671.4293,363.1948,279.233,227.2017,199.1704
HBMP(12:0_18:2_14:1)-H,897.6226,671.4293,361.1791,279.233,225.186,199.1704
HBMP(12:0_18:2_16:0)-H,927.6696,671.4293,391.2261,279.233,255.233,199.1704
HBMP(12:0_18:2_16:1)-H,925.6539,671.4293,389.2104,279.233,253.2173,199.1704
HBMP(12:0_18:2_16:2)-H,923.6382,671.4293,387.1948,279.233,251.2017,199.1704
