PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(13:0_18:1)+HCO2,762.52918,702.50804,631.43454,506.32527,438.26267,488.31471,420.25211,224.06881,213.18605,281.24865,168.04314,152.99586,96.96964,78.95852
PC(13:0_18:2)+HCO2,760.51348,700.49234,629.41884,504.30957,438.26267,486.29901,420.25211,224.06881,213.18605,279.23295,168.04314,152.99586,96.96964,78.95852
PC(13:0_18:3)+HCO2,758.49788,698.47674,627.40324,502.29397,438.26267,484.28341,420.25211,224.06881,213.18605,277.21735,168.04314,152.99586,96.96964,78.95852
PC(13:0_18:4)+HCO2,756.48218,696.46104,625.38754,500.27827,438.26267,482.26771,420.25211,224.06881,213.18605,275.20165,168.04314,152.99586,96.96964,78.95852
PC(13:0_19:0)+HCO2,778.56048,718.53934,647.46584,522.35657,438.26267,504.34601,420.25211,224.06881,213.18605,297.27995,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:0)+HCO2,792.57608,732.55494,661.48144,536.37217,438.26267,518.36161,420.25211,224.06881,213.18605,311.29555,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:1)+HCO2,790.56048,730.53934,659.46584,534.35657,438.26267,516.34601,420.25211,224.06881,213.18605,309.27995,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:2)+HCO2,788.54478,728.52364,657.45014,532.34087,438.26267,514.33031,420.25211,224.06881,213.18605,307.26425,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:3)+HCO2,786.52918,726.50804,655.43454,530.32527,438.26267,512.31471,420.25211,224.06881,213.18605,305.24865,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:4)+HCO2,784.51348,724.49234,653.41884,528.30957,438.26267,510.29901,420.25211,224.06881,213.18605,303.23295,168.04314,152.99586,96.96964,78.95852
PC(13:0_20:5)+HCO2,782.49788,722.47674,651.40324,526.29397,438.26267,508.28341,420.25211,224.06881,213.18605,301.21735,168.04314,152.99586,96.96964,78.95852
PC(13:0_21:0)+HCO2,806.59178,746.57064,675.49714,550.38787,438.26267,532.37731,420.25211,224.06881,213.18605,325.31125,168.04314,152.99586,96.96964,78.95852
PC(13:0_22:0)+HCO2,820.60738,760.58624,689.51274,564.40347,438.26267,546.39291,420.25211,224.06881,213.18605,339.32685,168.04314,152.99586,96.96964,78.95852
PC(13:0_22:1)+HCO2,818.59178,758.57064,687.49714,562.38787,438.26267,544.37731,420.25211,224.06881,213.18605,337.31125,168.04314,152.99586,96.96964,78.95852
PC(13:0_22:2)+HCO2,816.57608,756.55494,685.48144,560.37217,438.26267,542.36161,420.25211,224.06881,213.18605,335.29555,168.04314,152.99586,96.96964,78.95852
