GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(15:0_16:1)+NH4,746.54184,553.4832,535.47264,311.25875,299.25875
GlcADG(15:0_17:0)+NH4,762.57314,569.5145,551.50394,327.29005,299.25877
GlcADG(15:0_17:1)+NH4,760.55749,567.49885,549.48829,325.2744,299.25876
GlcADG(15:0_17:2)+NH4,758.54184,565.4832,547.47264,323.25875,299.25875
GlcADG(15:0_18:0)+NH4,776.58879,583.53015,565.51959,341.3057,299.25878
GlcADG(15:0_18:1)+NH4,774.57314,581.5145,563.50394,339.29005,299.25877
GlcADG(15:0_18:2)+NH4,772.55749,579.49885,561.48829,337.2744,299.25876
GlcADG(15:0_18:3)+NH4,770.54184,577.4832,559.47264,335.25875,299.25875
GlcADG(15:0_18:4)+NH4,768.52619,575.46755,557.45699,333.2431,299.25874
GlcADG(15:0_19:0)+NH4,790.60444,597.5458,579.53524,355.32135,299.25879
GlcADG(15:0_2:0)+NH4,552.33838,359.27974,341.26918,117.0553,299.25862
GlcADG(15:0_20:0)+NH4,804.62009,611.56145,593.55089,369.337,299.2588
GlcADG(15:0_20:1)+NH4,802.60444,609.5458,591.53524,367.32135,299.25879
GlcADG(15:0_20:2)+NH4,800.58879,607.53015,589.51959,365.3057,299.25878
GlcADG(15:0_20:3)+NH4,798.57314,605.5145,587.50394,363.29005,299.25877
GlcADG(15:0_20:4)+NH4,796.55749,603.49885,585.48829,361.2744,299.25876
GlcADG(15:0_20:5)+NH4,794.54184,601.4832,583.47264,359.25875,299.25875
GlcADG(15:0_21:0)+NH4,818.63574,625.5771,607.56654,383.35265,299.25881
GlcADG(15:0_22:0)+NH4,832.65139,639.59275,621.58219,397.3683,299.25882
GlcADG(15:0_22:1)+NH4,830.63574,637.5771,619.56654,395.35265,299.25881
GlcADG(15:0_22:2)+NH4,828.62009,635.56145,617.55089,393.337,299.2588
GlcADG(15:0_22:4)+NH4,824.58879,631.53015,613.51959,389.3057,299.25878
GlcADG(15:0_22:5)+NH4,822.57314,629.5145,611.50394,387.29005,299.25877
GlcADG(15:0_22:6)+NH4,820.55749,627.49885,609.48829,385.2744,299.25876
GlcADG(15:0_23:0)+NH4,846.66704,653.6084,635.59784,411.38395,299.25883
GlcADG(15:0_24:0)+NH4,860.68269,667.62405,649.61349,425.3996,299.25884
GlcADG(15:0_24:1)+NH4,858.66704,665.6084,647.59784,423.38395,299.25883
GlcADG(15:0_24:4)+NH4,852.62009,659.56145,641.55089,417.337,299.2588
GlcADG(15:0_25:0)+NH4,874.69834,681.6397,663.62914,439.41525,299.25885
GlcADG(15:0_26:0)+NH4,888.71399,695.65535,677.64479,453.4309,299.25886
GlcADG(15:0_26:1)+NH4,886.69834,693.6397,675.62914,451.41525,299.25885
GlcADG(15:0_26:2)+NH4,884.68269,691.62405,673.61349,449.3996,299.25884
GlcADG(15:0_3:0)+NH4,566.35403,373.29539,355.28483,131.07095,299.25863
