SM,[M+H]+,MH-PC,MH-N(CH3)3,Mprev-H2O,MH-PC-Tail,d(MH-Tail),PC Head,CH2CHN(CH3)3
SM(d15:0/15:1)+H,647.51227,464.44623,588.43873,446.43557,224.237245,220.205885,184.07332,86.09648
SM(d15:0/16:0)+H,663.54357,480.47753,604.47003,462.46687,224.237245,236.237185,184.07332,86.09648
SM(d15:0/16:1)+H,661.52797,478.46193,602.45443,460.45127,224.237245,234.221585,184.07332,86.09648
SM(d15:0/17:0)+H,677.55927,494.49323,618.48573,476.48257,224.237245,250.252885,184.07332,86.09648
SM(d15:0/17:1)+H,675.54357,492.47753,616.47003,474.46687,224.237245,248.237185,184.07332,86.09648
SM(d15:0/17:2)+H,673.52797,490.46193,614.45443,472.45127,224.237245,246.221585,184.07332,86.09648
SM(d15:0/18:0)+H,691.57487,508.50883,632.50133,490.49817,224.237245,264.268485,184.07332,86.09648
SM(d15:0/18:1)+H,689.55927,506.49323,630.48573,488.48257,224.237245,262.252885,184.07332,86.09648
SM(d15:0/18:2)+H,687.54357,504.47753,628.47003,486.46687,224.237245,260.237185,184.07332,86.09648
SM(d15:0/18:3)+H,685.52797,502.46193,626.45443,484.45127,224.237245,258.221585,184.07332,86.09648
SM(d15:0/18:4)+H,683.51227,500.44623,624.43873,482.43557,224.237245,256.205885,184.07332,86.09648
SM(d15:0/19:0)+H,705.59057,522.52453,646.51703,504.51387,224.237245,278.284185,184.07332,86.09648
SM(d15:0/20:0)+H,719.60617,536.54013,660.53263,518.52947,224.237245,292.299785,184.07332,86.09648
SM(d15:0/20:1)+H,717.59057,534.52453,658.51703,516.51387,224.237245,290.284185,184.07332,86.09648
SM(d15:0/20:2)+H,715.57487,532.50883,656.50133,514.49817,224.237245,288.268485,184.07332,86.09648
SM(d15:0/20:3)+H,713.55927,530.49323,654.48573,512.48257,224.237245,286.252885,184.07332,86.09648
SM(d15:0/20:4)+H,711.54357,528.47753,652.47003,510.46687,224.237245,284.237185,184.07332,86.09648
SM(d15:0/20:5)+H,709.52797,526.46193,650.45443,508.45127,224.237245,282.221585,184.07332,86.09648
SM(d15:0/21:0)+H,733.62187,550.55583,674.54833,532.54517,224.237245,306.315485,184.07332,86.09648
SM(d15:0/22:0)+H,747.63747,564.57143,688.56393,546.56077,224.237245,320.331085,184.07332,86.09648
SM(d15:0/22:1)+H,745.62187,562.55583,686.54833,544.54517,224.237245,318.315485,184.07332,86.09648
SM(d15:0/22:2)+H,743.60617,560.54013,684.53263,542.52947,224.237245,316.299785,184.07332,86.09648
SM(d15:0/22:3)+H,741.59057,558.52453,682.51703,540.51387,224.237245,314.284185,184.07332,86.09648
SM(d15:0/22:4)+H,739.57487,556.50883,680.50133,538.49817,224.237245,312.268485,184.07332,86.09648
SM(d15:0/22:5)+H,737.55927,554.49323,678.48573,536.48257,224.237245,310.252885,184.07332,86.09648
SM(d15:0/22:6)+H,735.54357,552.47753,676.47003,534.46687,224.237245,308.237185,184.07332,86.09648
SM(d15:0/23:0)+H,761.65317,578.58713,702.57963,560.57647,224.237245,334.346785,184.07332,86.09648
SM(d15:0/24:0)+H,775.66877,592.60273,716.59523,574.59207,224.237245,348.362385,184.07332,86.09648
SM(d15:0/24:1)+H,773.65317,590.58713,714.57963,572.57647,224.237245,346.346785,184.07332,86.09648
SM(d15:0/25:0)+H,789.68447,606.61843,730.61093,588.60777,224.237245,362.378085,184.07332,86.09648
SM(d15:0/26:0)+H,803.70007,620.63403,744.62653,602.62337,224.237245,376.393685,184.07332,86.09648
SM(d15:0/8:0)+H,551.41837,368.35233,492.34483,350.34167,224.237245,124.111985,184.07332,86.09648
SM(d15:1/10:0)+H,577.43397,394.36793,518.36043,376.35727,222.221545,152.143285,184.07332,86.09648
SM(d15:1/12:0)+H,605.46527,422.39923,546.39173,404.38857,222.221545,180.174585,184.07332,86.09648
SM(d15:1/13:0)+H,619.48097,436.41493,560.40743,418.40427,222.221545,194.190285,184.07332,86.09648
SM(d15:1/14:0)+H,633.49657,450.43053,574.42303,432.41987,222.221545,208.205885,184.07332,86.09648
SM(d15:1/14:1)+H,631.48097,448.41493,572.40743,430.40427,222.221545,206.190285,184.07332,86.09648
SM(d15:1/15:0)+H,647.51227,464.44623,588.43873,446.43557,222.221545,222.221585,184.07332,86.09648
SM(d15:1/15:1)+H,645.49657,462.43053,586.42303,444.41987,222.221545,220.205885,184.07332,86.09648
SM(d15:1/16:0)+H,661.52787,478.46183,602.45433,460.45117,222.221545,236.237185,184.07332,86.09648
SM(d15:1/16:1)+H,659.51227,476.44623,600.43873,458.43557,222.221545,234.221585,184.07332,86.09648
SM(d15:1/17:0)+H,675.54357,492.47753,616.47003,474.46687,222.221545,250.252885,184.07332,86.09648
SM(d15:1/17:1)+H,673.52787,490.46183,614.45433,472.45117,222.221545,248.237185,184.07332,86.09648
SM(d15:1/17:2)+H,671.51227,488.44623,612.43873,470.43557,222.221545,246.221585,184.07332,86.09648
SM(d15:1/18:0)+H,689.55917,506.49313,630.48563,488.48247,222.221545,264.268485,184.07332,86.09648
SM(d15:1/18:1)+H,687.54357,504.47753,628.47003,486.46687,222.221545,262.252885,184.07332,86.09648
SM(d15:1/18:2)+H,685.52787,502.46183,626.45433,484.45117,222.221545,260.237185,184.07332,86.09648
SM(d15:1/18:3)+H,683.51227,500.44623,624.43873,482.43557,222.221545,258.221585,184.07332,86.09648
SM(d15:1/18:4)+H,681.49657,498.43053,622.42303,480.41987,222.221545,256.205885,184.07332,86.09648
