GlcCer_NS,[M+HCO2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
GlcCer_NS(d17:1/26:4)+HCO2,862.64147,816.63597,654.58317,412.35863,369.34053,223.20728,179.05615
GlcCer_NS(d17:1/27:0)+HCO2,884.71977,838.71427,676.66147,434.43693,391.41883,223.20728,179.05615
GlcCer_NS(d17:1/27:1)+HCO2,882.70411,836.69861,674.64581,432.42127,389.40317,223.20728,179.05615
GlcCer_NS(d17:1/27:2)+HCO2,880.68845,834.68295,672.63015,430.40561,387.38751,223.20728,179.05615
GlcCer_NS(d17:1/27:3)+HCO2,878.67279,832.66729,670.61449,428.38995,385.37185,223.20728,179.05615
GlcCer_NS(d17:1/27:4)+HCO2,876.65713,830.65163,668.59883,426.37429,383.35619,223.20728,179.05615
GlcCer_NS(d17:1/28:0)+HCO2,898.73543,852.72993,690.67713,448.45259,405.43449,223.20728,179.05615
GlcCer_NS(d17:1/28:1)+HCO2,896.71977,850.71427,688.66147,446.43693,403.41883,223.20728,179.05615
GlcCer_NS(d17:1/28:2)+HCO2,894.70411,848.69861,686.64581,444.42127,401.40317,223.20728,179.05615
GlcCer_NS(d17:1/28:3)+HCO2,892.68845,846.68295,684.63015,442.40561,399.38751,223.20728,179.05615
GlcCer_NS(d17:1/28:4)+HCO2,890.67279,844.66729,682.61449,440.38995,397.37185,223.20728,179.05615
GlcCer_NS(d17:1/29:0)+HCO2,912.75109,866.74559,704.69279,462.46825,419.45015,223.20728,179.05615
GlcCer_NS(d17:1/29:1)+HCO2,910.73543,864.72993,702.67713,460.45259,417.43449,223.20728,179.05615
GlcCer_NS(d17:1/29:2)+HCO2,908.71977,862.71427,700.66147,458.43693,415.41883,223.20728,179.05615
GlcCer_NS(d17:1/29:3)+HCO2,906.70411,860.69861,698.64581,456.42127,413.40317,223.20728,179.05615
GlcCer_NS(d17:1/29:4)+HCO2,904.68845,858.68295,696.63015,454.40561,411.38751,223.20728,179.05615
GlcCer_NS(d17:1/30:0)+HCO2,926.76675,880.76125,718.70845,476.48391,433.46581,223.20728,179.05615
GlcCer_NS(d17:1/30:1)+HCO2,924.75109,878.74559,716.69279,474.46825,431.45015,223.20728,179.05615
GlcCer_NS(d17:1/30:2)+HCO2,922.73543,876.72993,714.67713,472.45259,429.43449,223.20728,179.05615
GlcCer_NS(d17:1/30:3)+HCO2,920.71977,874.71427,712.66147,470.43693,427.41883,223.20728,179.05615
GlcCer_NS(d17:1/30:4)+HCO2,918.70411,872.69861,710.64581,468.42127,425.40317,223.20728,179.05615
GlcCer_NS(d17:1/31:0)+HCO2,940.78241,894.77691,732.72411,490.49957,447.48147,223.20728,179.05615
GlcCer_NS(d17:1/31:1)+HCO2,938.76675,892.76125,730.70845,488.48391,445.46581,223.20728,179.05615
GlcCer_NS(d17:1/31:2)+HCO2,936.75109,890.74559,728.69279,486.46825,443.45015,223.20728,179.05615
GlcCer_NS(d17:1/31:3)+HCO2,934.73543,888.72993,726.67713,484.45259,441.43449,223.20728,179.05615
GlcCer_NS(d17:1/31:4)+HCO2,932.71977,886.71427,724.66147,482.43693,439.41883,223.20728,179.05615
GlcCer_NS(d17:1/32:0)+HCO2,954.79807,908.79257,746.73977,504.51523,461.49713,223.20728,179.05615
GlcCer_NS(d17:1/32:1)+HCO2,952.78241,906.77691,744.72411,502.49957,459.48147,223.20728,179.05615
GlcCer_NS(d17:1/32:2)+HCO2,950.76675,904.76125,742.70845,500.48391,457.46581,223.20728,179.05615
GlcCer_NS(d17:1/32:3)+HCO2,948.75109,902.74559,740.69279,498.46825,455.45015,223.20728,179.05615
GlcCer_NS(d17:1/32:4)+HCO2,946.73543,900.72993,738.67713,496.45259,453.43449,223.20728,179.05615
GlcCer_NS(d17:1/33:0)+HCO2,968.81373,922.80823,760.75543,518.53089,475.51279,223.20728,179.05615
GlcCer_NS(d17:1/33:1)+HCO2,966.79807,920.79257,758.73977,516.51523,473.49713,223.20728,179.05615
GlcCer_NS(d17:1/33:2)+HCO2,964.78241,918.77691,756.72411,514.49957,471.48147,223.20728,179.05615
GlcCer_NS(d17:1/33:3)+HCO2,962.76675,916.76125,754.70845,512.48391,469.46581,223.20728,179.05615
GlcCer_NS(d17:1/33:4)+HCO2,960.75109,914.74559,752.69279,510.46825,467.45015,223.20728,179.05615
GlcCer_NS(d17:1/34:0)+HCO2,982.82939,936.82389,774.77109,532.54655,489.52845,223.20728,179.05615
GlcCer_NS(d17:1/34:1)+HCO2,980.81373,934.80823,772.75543,530.53089,487.51279,223.20728,179.05615
GlcCer_NS(d17:1/34:2)+HCO2,978.79807,932.79257,770.73977,528.51523,485.49713,223.20728,179.05615
GlcCer_NS(d17:1/34:3)+HCO2,976.78241,930.77691,768.72411,526.49957,483.48147,223.20728,179.05615
GlcCer_NS(d17:1/34:4)+HCO2,974.76675,928.76125,766.70845,524.48391,481.46581,223.20728,179.05615
GlcCer_NS(d17:1/35:0)+HCO2,996.84505,950.83955,788.78675,546.56221,503.54411,223.20728,179.05615
GlcCer_NS(d17:1/35:1)+HCO2,994.82939,948.82389,786.77109,544.54655,501.52845,223.20728,179.05615
GlcCer_NS(d17:1/35:2)+HCO2,992.81373,946.80823,784.75543,542.53089,499.51279,223.20728,179.05615
GlcCer_NS(d17:1/35:3)+HCO2,990.79807,944.79257,782.73977,540.51523,497.49713,223.20728,179.05615
GlcCer_NS(d17:1/35:4)+HCO2,988.78241,942.77691,780.72411,538.49957,495.48147,223.20728,179.05615
GlcCer_NS(d17:1/36:0)+HCO2,1010.86071,964.85521,802.80241,560.57787,517.55977,223.20728,179.05615
GlcCer_NS(d17:1/36:1)+HCO2,1008.84505,962.83955,800.78675,558.56221,515.54411,223.20728,179.05615
GlcCer_NS(d17:1/36:2)+HCO2,1006.82939,960.82389,798.77109,556.54655,513.52845,223.20728,179.05615
GlcCer_NS(d17:1/36:3)+HCO2,1004.81373,958.80823,796.75543,554.53089,511.51279,223.20728,179.05615
GlcCer_NS(d17:1/36:4)+HCO2,1002.79807,956.79257,794.73977,552.51523,509.49713,223.20728,179.05615
GlcCer_NS(d18:1/14:0)+HCO2,716.53185,670.52635,508.47355,252.23335,209.21525,237.22294,179.05615
GlcCer_NS(d18:1/14:1)+HCO2,714.51619,668.51069,506.45789,250.21769,207.19959,237.22294,179.05615
