PA,[M+H]+,NL_head,NL_T1_RCOOH,NL_T2_RCOOH,T1_RCO+,T2_RCO+
PA(16:0_20:3)+H,699.496,601.51909,363.28944,313.27374,239.23695,289.25265
PA(16:0_20:4)+H,697.4803,599.50339,361.27374,313.27374,239.23695,287.23695
PA(16:0_20:5)+H,695.4647,597.48779,359.25814,313.27374,239.23695,285.22135
PA(16:0_21:0)+H,719.5586,621.58169,383.35204,313.27374,239.23695,309.31525
PA(16:0_22:0)+H,733.5742,635.59729,397.36764,313.27374,239.23695,323.33085
PA(16:0_22:1)+H,731.5586,633.58169,395.35204,313.27374,239.23695,321.31525
PA(16:0_22:2)+H,729.5429,631.56599,393.33634,313.27374,239.23695,319.29955
PA(16:0_22:3)+H,727.5273,629.55039,391.32074,313.27374,239.23695,317.28395
PA(16:0_22:4)+H,725.5116,627.53469,389.30504,313.27374,239.23695,315.26825
PA(16:0_22:5)+H,723.496,625.51909,387.28944,313.27374,239.23695,313.25265
PA(16:0_22:6)+H,721.4803,623.50339,385.27374,313.27374,239.23695,311.23695
PA(16:0_23:0)+H,747.5899,649.61299,411.38334,313.27374,239.23695,337.34655
PA(16:0_24:0)+H,761.6055,663.62859,425.39894,313.27374,239.23695,351.36215
PA(16:0_24:1)+H,759.5899,661.61299,423.38334,313.27374,239.23695,349.34655
PA(16:0_25:0)+H,775.6212,677.64429,439.41464,313.27374,239.23695,365.37785
PA(16:0_26:0)+H,789.6368,691.65989,453.43024,313.27374,239.23695,379.39345
PA(16:1_16:1)+H,645.4491,547.47219,311.25814,311.25814,237.22135,237.22135
PA(16:1_17:0)+H,661.4804,563.50349,327.28944,311.25814,237.22135,253.25265
PA(16:1_17:1)+H,659.4647,561.48779,325.27374,311.25814,237.22135,251.23695
PA(16:1_17:2)+H,657.4491,559.47219,323.25814,311.25814,237.22135,249.22135
