PS,[M+H]+,NL_head,T1RCOO+58,T2RCOO+58,T1_RCO+,T2_RCO+
PS(15:1_20:5)+H,766.46546,581.45651,359.25816,297.24246,223.20565,285.22135
PS(15:1_21:0)+H,790.55936,605.55041,383.35206,297.24246,223.20565,309.31525
PS(15:1_22:0)+H,804.57496,619.56601,397.36766,297.24246,223.20565,323.33085
PS(15:1_22:1)+H,802.55936,617.55041,395.35206,297.24246,223.20565,321.31525
PS(15:1_22:2)+H,800.54366,615.53471,393.33636,297.24246,223.20565,319.29955
PS(15:1_22:3)+H,798.52806,613.51911,391.32076,297.24246,223.20565,317.28395
PS(15:1_22:4)+H,796.51236,611.50341,389.30506,297.24246,223.20565,315.26825
PS(15:1_22:5)+H,794.49676,609.48781,387.28946,297.24246,223.20565,313.25265
PS(15:1_22:6)+H,792.48106,607.47211,385.27376,297.24246,223.20565,311.23695
PS(15:1_23:0)+H,818.59066,633.58171,411.38336,297.24246,223.20565,337.34655
PS(15:1_24:0)+H,832.60626,647.59731,425.39896,297.24246,223.20565,351.36215
PS(15:1_24:1)+H,830.59066,645.58171,423.38336,297.24246,223.20565,349.34655
PS(15:1_25:0)+H,846.62196,661.61301,439.41466,297.24246,223.20565,365.37785
PS(15:1_26:0)+H,860.63756,675.62861,453.43026,297.24246,223.20565,379.39345
PS(16:0_16:0)+H,736.51236,551.50341,313.27376,313.27376,239.23695,239.23695
PS(16:0_16:1)+H,734.49676,549.48781,311.25816,313.27376,239.23695,237.22135
PS(16:0_17:0)+H,750.52806,565.51911,327.28946,313.27376,239.23695,253.25265
PS(16:0_17:1)+H,748.51236,563.50341,325.27376,313.27376,239.23695,251.23695
PS(16:0_17:2)+H,746.49676,561.48781,323.25816,313.27376,239.23695,249.22135
PS(16:0_18:0)+H,764.54366,579.53471,341.30506,313.27376,239.23695,267.26825
PS(16:0_18:1)+H,762.52806,577.51911,339.28946,313.27376,239.23695,265.25265
PS(16:0_18:2)+H,760.51236,575.50341,337.27376,313.27376,239.23695,263.23695
PS(16:0_18:3)+H,758.49676,573.48781,335.25816,313.27376,239.23695,261.22135
PS(16:0_18:4)+H,756.48106,571.47211,333.24246,313.27376,239.23695,259.20565
PS(16:0_19:0)+H,778.55936,593.55041,355.32076,313.27376,239.23695,281.28395
PS(16:0_20:0)+H,792.57496,607.56601,369.33636,313.27376,239.23695,295.29955
PS(16:0_20:1)+H,790.55936,605.55041,367.32076,313.27376,239.23695,293.28395
PS(16:0_20:2)+H,788.54366,603.53471,365.30506,313.27376,239.23695,291.26825
PS(16:0_20:3)+H,786.52806,601.51911,363.28946,313.27376,239.23695,289.25265
PS(16:0_20:4)+H,784.51236,599.50341,361.27376,313.27376,239.23695,287.23695
PS(16:0_20:5)+H,782.49676,597.48781,359.25816,313.27376,239.23695,285.22135
PS(16:0_21:0)+H,806.59066,621.58171,383.35206,313.27376,239.23695,309.31525
PS(16:0_22:0)+H,820.60626,635.59731,397.36766,313.27376,239.23695,323.33085
PS(16:0_22:1)+H,818.59066,633.58171,395.35206,313.27376,239.23695,321.31525
PS(16:0_22:2)+H,816.57496,631.56601,393.33636,313.27376,239.23695,319.29955
PS(16:0_22:3)+H,814.55936,629.55041,391.32076,313.27376,239.23695,317.28395
PS(16:0_22:4)+H,812.54366,627.53471,389.30506,313.27376,239.23695,315.26825
PS(16:0_22:5)+H,810.52806,625.51911,387.28946,313.27376,239.23695,313.25265
PS(16:0_22:6)+H,808.51236,623.50341,385.27376,313.27376,239.23695,311.23695
PS(16:0_23:0)+H,834.62196,649.61301,411.38336,313.27376,239.23695,337.34655
PS(16:0_24:0)+H,848.63756,663.62861,425.39896,313.27376,239.23695,351.36215
PS(16:0_24:1)+H,846.62196,661.61301,423.38336,313.27376,239.23695,349.34655
PS(16:0_25:0)+H,862.65326,677.64431,439.41466,313.27376,239.23695,365.37785
PS(16:0_26:0)+H,876.66886,691.65991,453.43026,313.27376,239.23695,379.39345
PS(16:1_16:1)+H,732.48116,547.47221,311.25816,311.25816,237.22135,237.22135
PS(16:1_17:0)+H,748.51246,563.50351,327.28946,311.25816,237.22135,253.25265
PS(16:1_17:1)+H,746.49676,561.48781,325.27376,311.25816,237.22135,251.23695
PS(16:1_17:2)+H,744.48116,559.47221,323.25816,311.25816,237.22135,249.22135
